"default feeder","tape size","tape feed","device","footprint","max volt"
"","12 mm","8 mm","MAX485","sop-8","5v"
"","16 mm","8 mm","LM324","SOIC-14","5v"
"","12 mm","8 mm","74LVC125","TSSOP-14","5v"
"","12 mm","8 mm","LM393","SOP-8","5V"
"","16 mm","8 mm","PCA9685","TSSOP-28","5V"
"","24 mm","12 mm","IR2110","SOIC-16","5V"
"24","12 mm","8 mm","PCA9546","TSSOP-16","5V"
"23","12 mm","8 mm","DS3502","UMAX-10","5V"
"26","12 mm","8 mm","AD7992","MSOP-10","5V"
"","12 mm","8 mm","AT24C256","MSOP-8","5.5V"
"","8 mm","8 mm","74HC165","TSSOP-16","6V"
"","16 mm","8 mm","74hc4051","SOP-16","5.5V"
"","16 mm","8 mm","74hc595D","SOP-16","5.5V"
