"default feeder","tape size","device","footprint","value","vermogen"
"6","8 mm","0805","R0805","10R","0.125W"
"7","8 mm","0805","R0805","1K","0.125W"
"8","8 mm","0805","R0805","10K","0.125W"
"9","8 mm","0805","R0805","100K","0.125W"
"10","8 mm","0805","R0805","4.7K","0.125W"
"11","8 mm","0805","R0805","220R","0.125W"
"12","8 mm","0805","R0805","330R","0.125W"
"13","8 mm","0805","R0805","120R","0.125W"
"","8 mm","0805","R0805","1M","0.125W"
"","8 mm","0805","R0805","20K","0.125W"
"","8 mm","0805","R0805","2K","0.125W"
"","8 mm","0805","R0805","3.3k","0.125W"
"","8 mm","0805","R0805","5.1k","0.125W"
